name,price,address,city,category_code,city_code,business,scan_date
Nikon PC-Nikkor 35mm f2.8 Lens (as is scratch on front glass),125.0,https://toronto.craigslist.ca/tor/phd/d/nikon-pc-nikkor-35mm-f28-lens/6752866578.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Nikon AF N4004s with Sigma 70-210mm f4-5.6 Lens,75.0,https://toronto.craigslist.ca/tor/phd/d/nikon-af-n4004s-with-sigmamm/6752867346.html,Toronto,phd,tor,1,2018-12-09 13:11:55
SMC Pentax-M 50mm f1.7 PK Lens,85.0,https://toronto.craigslist.ca/tor/phd/d/smc-pentax-50mm-f17-pk-lens/6752840294.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Sony Cyber-shot DSC-W510 Digital Camera,55.0,https://toronto.craigslist.ca/mss/pho/d/sony-cyber-shot-dsc-w510/6768247303.html,Toronto,pho,mss,0,2018-12-09 13:11:55
Sony DSC-S2100 12.1MP Digital Camera,50.0,https://toronto.craigslist.ca/mss/pho/d/sony-dsc-smp-digital-camera/6768212210.html,Toronto,pho,mss,0,2018-12-09 13:11:55
CANON T5I/700D DSLR BODY WITH EFS 18-55MM LENS,500.0,https://toronto.craigslist.ca/tor/pho/d/canon-t5i-700d-dslr-body-with/6768162911.html,Toronto,pho,tor,0,2018-12-09 13:11:55
"Canon DSLR body, 3 lens, grip, batteries, filters etc",3300.0,https://toronto.craigslist.ca/yrk/pho/d/canon-dslr-body-3-lens-grip/6768098182.html,Toronto,pho,yrk,0,2018-12-09 13:11:55
"Brand New in box, DJI Osmo pocket 2018",350.0,https://toronto.craigslist.ca/tor/pho/d/brand-new-in-box-dji-osmo/6768025535.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Speedotron 102 Strobe heads with reflectors,475.0,https://toronto.craigslist.ca/tor/pho/d/speedotron-102-strobe-heads/6747325111.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Vintage cameras and Recording parts..,220.0,https://toronto.craigslist.ca/mss/pho/d/vintage-cameras-and-recording/6745776107.html,Toronto,pho,mss,0,2018-12-09 13:11:55
Vintage recording parts and equipments..,300.0,https://toronto.craigslist.ca/mss/pho/d/vintage-recording-parts-and/6762515500.html,Toronto,pho,mss,0,2018-12-09 13:11:55
BG-E9 battery grip for Canon 60D,85.0,https://toronto.craigslist.ca/tor/pho/d/bg-e9-battery-grip-for-canon/6767995404.html,Toronto,pho,tor,0,2018-12-09 13:11:55
"Brand new Hyundai 7""inches Digital photo frame",79.0,https://toronto.craigslist.ca/tor/pho/d/brand-new-hyundai-7inches/6749325091.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Sony PXW X70 4k camcorder w/ accessories,1750.0,https://toronto.craigslist.ca/tor/pho/d/sony-pxw-x70-4k-camcorder/6767832608.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Sony PXW X70 4k camcorder w/ accessories,1750.0,https://toronto.craigslist.ca/tor/pho/d/sony-pxw-x70-4k-camcorder/6767833040.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Lorex 1080p HD Wire-Free Security Camera System,140.0,https://toronto.craigslist.ca/yrk/pho/d/lorex-1080p-hd-wire-free/6764254230.html,Toronto,pho,yrk,0,2018-12-09 13:11:55
Aputure Amamran 672S LED light,200.0,https://toronto.craigslist.ca/tor/pho/d/aputure-amamran-672s-led-light/6767834084.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon Speedlite 600EX II-RT - BOX/BRAND NEW,525.0,https://toronto.craigslist.ca/tor/pho/d/canon-speedlite-600ex-ii-rt/6766184375.html,Toronto,pho,tor,0,2018-12-09 13:11:55
"Canon  5DS & 5D IV (MINT, LIKE BRAND NEW)",2500.0,https://toronto.craigslist.ca/tor/pho/d/canon-5ds-5d-iv-mint-like/6759548162.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Manfrotto 028b Triman tripod,275.0,https://toronto.craigslist.ca/tor/pho/d/manfrotto-028b-triman-tripod/6767831493.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Vintage Film Projector -- Bell & Howell -- 10/10,140.0,https://toronto.craigslist.ca/tor/pho/d/vintage-film-projector-bell/6749541844.html,Toronto,pho,tor,0,2018-12-09 13:11:55
"NIKON KEYMISSION 360 4K, HD Action Camera, Black + Selfie Stick",450.0,https://toronto.craigslist.ca/tor/pho/d/nikon-keymission-360-4k-hd/6758803106.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Nikon KeyMission 360 4K Action Camera,400.0,https://toronto.craigslist.ca/tor/pho/d/nikon-keymission-360-4k/6767755850.html,Toronto,pho,tor,0,2018-12-09 13:11:55
X-T1 Fujifilm Fuji FUJINON X-T1 XT1 XT-1 Digital Camera Body,500.0,https://toronto.craigslist.ca/tor/pho/d/t1-fujifilm-fuji-fujinon-t1/6755071744.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Fuji fujinon fujifilm x100S X100S X100 S DIGITAL camera fuji,550.0,https://toronto.craigslist.ca/tor/pho/d/fuji-fujinon-fujifilm-x100s/6755071516.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Sony Cyber-shot DSC-RX1 24.3 MP Digital Camera RX1 full frame,1150.0,https://toronto.craigslist.ca/tor/pho/d/sony-cyber-shot-dsc-rx1-243/6755070803.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Leica T (Type 701) Mirrorless Digital Camera body,850.0,https://toronto.craigslist.ca/tor/pho/d/leica-type-701-mirrorless/6755203109.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Bell & Howell Autoload Filmosound 8 Super Eight Movie Camera 442,95.0,https://toronto.craigslist.ca/tor/pho/d/bell-howell-autoload/6767711903.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Honeywell Pentax H3 vintage film SLR,60.0,https://toronto.craigslist.ca/tor/pho/d/honeywell-pentax-h3-vintage/6765303071.html,Toronto,pho,tor,0,2018-12-09 13:11:55
"Sony A330 DSLR , like new.",140.0,https://toronto.craigslist.ca/tor/pho/d/sony-a330-dslr-like-new/6765302281.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Aluminum Hard System Case  - Sony - LCH-VX1000 - mint,125.0,https://toronto.craigslist.ca/tor/pho/d/aluminum-hard-system-case/6767660200.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Tamron AF 28-105mm f/4-5.6 IF -with Hood fits CANON Ti new in box,150.0,https://toronto.craigslist.ca/tor/pho/d/tamron-afmm-4-56-if-with-hood/6767660055.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon - EOS REBEL - EF 100-300mm Zoom Lens - w/ hard leather case,120.0,https://toronto.craigslist.ca/tor/pho/d/canon-eos-rebel-efmm-zoom/6767659890.html,Toronto,pho,tor,0,2018-12-09 13:11:55
CANON  EOS  650  35 mm Camera Lens Case Strap,125.0,https://toronto.craigslist.ca/tor/pho/d/canon-eosmm-camera-lens-case/6767659714.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Nikon D7100 and DX AF-S 18-200mm 3.5-5.6 G ED VR,900.0,https://toronto.craigslist.ca/tor/pho/d/nikon-d7100-and-dx-afmmed-vr/6751529432.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon A-1 35mm Film Camera Bundle | 50mm F1.8 | 24mm F2.8,300.0,https://toronto.craigslist.ca/tor/pho/d/canon-1-35mm-film-camera/6767581383.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Olympus OM-1 35mm Film Camera | 50mm F3.5 Macro,125.0,https://toronto.craigslist.ca/tor/pho/d/olympus-om-1-35mm-film-camera/6767581867.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Omega Chromega B Dichroic Color Enlarger,260.0,https://toronto.craigslist.ca/yrk/pho/d/omega-chromega-dichroic-color/6767574459.html,Toronto,pho,yrk,0,2018-12-09 13:11:55
Lumu Lite Light and Color Meter for iOS (3.5mm),140.0,https://toronto.craigslist.ca/tor/pho/d/lumu-lite-light-and-color/6751057142.html,Toronto,pho,tor,0,2018-12-09 13:11:55
2 Speedotron 2400 watt Flash Kits,950.0,https://toronto.craigslist.ca/tor/pho/d/2-speedotron-2400-watt-flash/6767526770.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Nikon NIKKOR 70-200mm f/2.8G ED VR II lens,1850.0,https://toronto.craigslist.ca/tor/pho/d/nikon-nikkormm-28g-ed-vr-ii/6761026147.html,Toronto,pho,tor,0,2018-12-09 13:11:55
DJI Phantom 4 Pro Quadcopter Drone,1499.0,https://toronto.craigslist.ca/tor/pho/d/dji-phantom-4-pro-quadcopter/6767401130.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Black Magic Ursa Mini Pro,7999.0,https://toronto.craigslist.ca/mss/pho/d/black-magic-ursa-mini-pro/6767399740.html,Toronto,pho,mss,0,2018-12-09 13:11:55
LOWEL 3-LIGHT KIT,400.0,https://toronto.craigslist.ca/tor/pho/d/lowel-3-light-kit/6762708238.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Konica AR 135mm f3.2 Lens,95.0,https://toronto.craigslist.ca/tor/phd/d/konica-ar-135mm-f32-lens/6767334545.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Olympus OM-F with Zuiko Auto-S 50mm f1.8 Lens,125.0,https://toronto.craigslist.ca/tor/phd/d/olympus-om-with-zuiko-auto/6752867682.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Nikon AF-S 35mm f1.8 G Lens,215.0,https://toronto.craigslist.ca/tor/phd/d/nikon-af-35mm-f18-lens/6752841348.html,Toronto,phd,tor,1,2018-12-09 13:11:55
