name,price,address,category,scan_date
Beltronics RX65-Red Professional Series Radar Detector,129,https://www.amazon.com/Beltronics-RX65-Red-Professional-Radar-Detector/dp/B0009204RI/ref=sr_1_43?s=electronics&ie=UTF8&qid=1544408522&sr=1-43&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Shure BETA 58A Supercardioid Dynamic Microphone with High Output Neodymium Element for Vocal/Instrument Applications,159,https://www.amazon.com/Shure-BETA-58A-Supercardioid-Applications/dp/B0002BACB4/ref=sr_1_44?s=electronics&ie=UTF8&qid=1544408522&sr=1-44&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
HP 12C Platinum Calculator,47,https://www.amazon.com/HEWLETT-PACKARD-MAIN-86591-Platinum-Calculator/dp/B00009WNV9/ref=sr_1_45?s=electronics&ie=UTF8&qid=1544408522&sr=1-45&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Shure SM48-LC Vocal Dynamic Microphone, Cardioid",48,https://www.amazon.com/Shure-SM48-LC-Dynamic-Microphone-Cardioid/dp/B0002D0HY4/ref=sr_1_47?s=electronics&ie=UTF8&qid=1544408522&sr=1-47&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Bose 161 Speaker System (Pair, Black)",158,https://www.amazon.com/Bose-Speaker-System-Pair-Black/dp/B00006I53A/ref=sr_1_48?s=electronics&ie=UTF8&qid=1544408522&sr=1-48,Camera & Photo: Electronics,2018-12-08
Plantronics HL10 Handset Lifter,35,https://www.amazon.com/Plantronics-HL10-Handset-Lifter/dp/B0006B088W/ref=sr_1_52?s=electronics&ie=UTF8&qid=1544408524&sr=1-52&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Cobra C75WXST Handheld CB Radio - NOAA Radio - LCD Display - 40 Channel,103,https://www.amazon.com/Cobra-C75WXST-Handheld-CB-Radio/dp/B00005N5WW/ref=sr_1_53?s=electronics&ie=UTF8&qid=1544408524&sr=1-53&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery Matte Frosted Clear Full Sheet Labels for Inkjet Printers, 8.5"" x 11"", 25 Labels (8665)",16,https://www.amazon.com/Avery-Frosted-Labels-Inkjet-Printers/dp/B00006HUP7/ref=sr_1_54?s=electronics&ie=UTF8&qid=1544408524&sr=1-54&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Brother FAX4100E IntelliFax Plain Paper Laser Fax/Copier,234,https://www.amazon.com/Brother-FAX4100E-IntelliFax-Plain-Copier/dp/B000GLOI88/ref=sr_1_55?s=electronics&ie=UTF8&qid=1544408524&sr=1-55&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Motorola Professional CLS1410 5-Mile 4-Channel UHF Two-Way Radio,158,https://www.amazon.com/Motorola-Professional-CLS1410-4-Channel-Two-Way/dp/B00028HNQY/ref=sr_1_57?s=electronics&ie=UTF8&qid=1544408524&sr=1-57&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Sangean H201 Portable AM/FM/Weather Alert Digital Tuning Waterproof Shower Radio,62,https://www.amazon.com/Sangean-Portable-Weather-Digital-Waterproof/dp/B000I3F91O/ref=sr_1_58?s=electronics&ie=UTF8&qid=1544408524&sr=1-58&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
HEARTLAND 21000 Energy Saving Dryer Vent Closure,36,https://www.amazon.com/HEARTLAND-21000-Energy-Saving-Closure/dp/B00009W3I4/ref=sr_1_59?s=electronics&ie=UTF8&qid=1544408524&sr=1-59&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Sennheiser HD 600 Open Back Professional Headphone,307,https://www.amazon.com/Sennheiser-Open-Back-Professional-Headphone/dp/B00004SY4H/ref=sr_1_60?s=electronics&ie=UTF8&qid=1544408524&sr=1-60&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
