name,price,address,category_code,scan_date
Canon EF 85mm f/1.8 USM Medium Telephoto Lens for Canon SLR Cameras - Fixed,299,https://www.amazon.com/Canon-85mm-Medium-Telephoto-Cameras/dp/B00007GQLU/ref=sr_1_6/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-6&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
"Sony SEL85F18 85mm F/1.8-22 Medium-Telephoto Fixed Prime Camera Lens, Black",573,https://www.amazon.com/Sony-SEL85F18-1-8-22-Medium-Telephoto-Camera/dp/B06WLGFWGX/ref=sr_1_7/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-7&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Nikon AF-P DX NIKKOR 10-20mm f/4.5-5.6G VR Lens,306,https://www.amazon.com/Nikon-AF-P-NIKKOR-10-20mm-4-5-5-6G/dp/B072639587/ref=sr_1_8/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-8&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Tamron 28-75mm F/2.8 for Sony Mirrorless Full Frame E Mount (Tamron 6 Year Limited USA Warranty),799,https://www.amazon.com/ev/EGG/ref=sr_deal_ev,Lenses / Camera & Photo: Electronics,2018-12-11
Sony - FE 24-105mm F4 G OSS Standard Zoom Lens (SEL24105G),"1,298",https://www.amazon.com/Sony-24-105mm-Standard-Zoom-SEL24105G/dp/B076V9P58R/ref=sr_1_10/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-10&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Canon EF 24-70mm f/2.8L II USM Standard Zoom Lens,"1,599",https://www.amazon.com/Canon-24-70mm-2-8L-Standard-Zoom/dp/B0076BNK30/ref=sr_1_11/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-11&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Canon EF 100mm f/2.8L IS USM Macro Lens for Canon Digital SLR Cameras,699,https://www.amazon.com/Canon-100mm-Macro-Digital-Cameras/dp/B002NEGTSI/ref=sr_1_12/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-12&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Sigma 18-35mm F1.8 Art DC HSM Lens for Canon,799,https://www.amazon.com/Sigma-18-35mm-F1-8-Lens-Canon/dp/B00DBL0NLQ/ref=sr_1_13/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-13&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Nikon AF-S FX NIKKOR 200-500mm f/5.6E ED Vibration Reduction Zoom Lens with Auto Focus for Nikon DSLR Cameras,"1,396",https://www.amazon.com/Nikon-200-500mm-Vibration-Reduction-Cameras/dp/B013D1BI9Y/ref=sr_1_14/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-14&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Tamron Auto Focus 70-300mm f/4.0-5.6 Di LD Macro Zoom Lens with Built In Motor for Nikon Digital SLR (Model A17NII),107,https://www.amazon.com/Tamron-70-300mm-4-0-5-6-Digital-A17NII/dp/B0012UUP02/ref=sr_1_15/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-15&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Sony - E 50mm F1.8 OSS Portrait Lens (SEL50F18/B),273,https://www.amazon.com/Sony-50mm-F1-8-Portrait-SEL50F18/dp/B00EPWC30O/ref=sr_1_16/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-16,Lenses / Camera & Photo: Electronics,2018-12-11
"PANASONIC LUMIX G LENS, 25MM, F1.7 ASPH., MIRRORLESS MICRO FOUR THIRDS, H-H025K (USA BLACK)",147,https://www.amazon.com/dp/B014RD6RC0,Lenses / Camera & Photo: Electronics,2018-12-11
Nikon AF FX NIKKOR 50mm f/1.8D Lens for Nikon DSLR Cameras,131,https://www.amazon.com/Nikon-NIKKOR-50mm-1-8D-Cameras/dp/B00005LEN4/ref=sr_1_19/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-19&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Nikon AF S NIKKOR 85mm f/1.8G Fixed Lens with Auto Focus for Nikon DSLR Cameras,476,https://www.amazon.com/Nikon-NIKKOR-Fixed-Focus-Cameras/dp/B006TAP096/ref=sr_1_20/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-20&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Sony - FE 24-70mm F2.8 GM Standard Zoom Lens (SEL2470GM),"2,198",https://www.amazon.com/Sony-24-70mm-F2-8-Standard-SEL2470GM/dp/B01BESQYJW/ref=sr_1_21/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-21&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Sony SELP18105G E PZ 18-105mm F4 G OSS,573,https://www.amazon.com/Sony-SELP18105G-PZ-18-105mm-OSS/dp/B00ENZRQH8/ref=sr_1_22/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-22&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Canon EF-S 10-18mm f/4.5-5.6 IS STM Lens,269,https://www.amazon.com/Canon-EF-S-10-18mm-4-5-5-6-Lens/dp/B00K899B9Y/ref=sr_1_23/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-23&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
Canon Digital SLR Camera Kit [EOS Rebel T6] with EF-S 18-55mm and EF 75-300mm Zoom Lenses - Black,449,https://www.amazon.com/Canon-Digital-Camera-18-55mm-75-300mm/dp/B01CQJHJ2E/ref=sr_1_1/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-1&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Sony SEL35F18 35mm f/1.8 Prime Fixed Lens,423,https://www.amazon.com/Sony-SEL35F18-35mm-Prime-Fixed/dp/B0096W1P5W/ref=sr_1_24/138-9583416-2259243?s=photo&ie=UTF8&qid=1544518733&sr=1-24&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A10000-99999999,Lenses / Camera & Photo: Electronics,2018-12-11
"Sony a7 III Full-Frame Mirrorless Interchangeable-Lens Camera Optical with 3-Inch LCD, Black (ILCE7M3/B)","1,998",https://www.amazon.com/Sony-Full-Frame-Mirrorless-Interchangeable-Lens-ILCE7M3/dp/B07B43WPVK/ref=sr_1_2/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-2&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
